Rank,School,Seed,Automatic Qualifier
1,Michigan,1,AQ Big Ten
2,Duke,1,AQ ACC
3,Arizona,1,
4,UConn,1,AQ Big East
5,Houston,2,AQ Big 12
6,Iowa State,2,
7,Illinois,2,
8,Purdue,2,
9,Kansas,3,
10,Nebraska,3,
11,Florida,3,AQ SEC
12,Texas Tech,3,
13,Vanderbilt,4,
14,Michigan State,4,
15,Gonzaga,4,AQ WCC
16,Virginia,4,
17,St. John's,5,
18,Arkansas,5,
19,Louisville,5,
20,Alabama,5,
21,Tennessee,6,
22,North Carolina,6,
23,Saint Louis,6,AQ A10
24,Kentucky,6,
25,BYU,7,
26,Clemson,7,
27,Villanova,7,
28,Wisconsin,7,
29,Utah State,8,AQ MW
30,Miami (Fla.),8,
31,NC State,8,
32,Iowa,8,
33,Auburn,9,
34,Indiana,9,
35,UCF,9,
36,Saint Mary's,9,
37,Texas A&M,10,
38,SMU,10,
39,USC,10,
40,Texas,10,
41,UCLA,11,
42,Georgia,11,
43,San Diego State,11,
44,Ohio State,11,
45,TCU,11,
46,Miami (OH),11,AQ MAC
47,Belmont,12,AQ MVC
48,South Florida,12,AQ American
49,Liberty,12,AQ CUSA
50,Yale,12,AQ Ivy
51,Stephen F. Austin,13,AQ Southland
52,High Point,13,AQ Big South
53,UNC Wilmington,13,AQ CAA
54,Hawaii,13,AQ Big West
55,Cal Baptist,14,AQ WAC
56,Austin Peay,14,AQ ASUN
57,North Dakota State,14,AQ Summit
58,South Alabama,14,AQ Sun Belt
59,Portland State,15,AQ Big Sky
60,East Tennessee State,15,AQ Southern
61,Navy,15,AQ Patriot
62,Merrimack,15,AQ MAAC
63,Wright State,16,AQ Horizon
64,UT Martin,16,AQ OVC
65,LIU,16,AQ NEC
66,Bethune-Cookman,16,AQ SWAC
67,Howard,16,AQ MEAC
68,NJIT,16,AQ American East
